o,d,dis
9,48,8292.389631
9,91,8312.348692
9,82,8482.804679
9,108,8507.997748
9,73,8528.5147
9,107,8534.504699
9,88,8582.615412
9,70,8822.37832
9,95,8850.32457
9,103,8868.057966
9,33,8889.33478
9,101,9052.783021
9,93,9134.473134
9,123,9238.651093
9,100,9301.406552
9,122,9313.142117
9,124,9318.624552
9,121,9323.806621
9,106,9688.672436
9,102,9905.507428
9,76,9935.564114
9,46,9953.344191
9,64,9980.429693
9,120,9996.204686
9,49,10073.96168
9,105,10299.33771
9,118,10521.48695
9,67,10599.81002
9,14,10622.38405
9,109,10834.2816
9,59,10836.78676
9,6,10863.53846
9,2,10991.64305
9,5,11198.26569
9,68,11344.97755
9,53,11383.23623
9,51,11456.42657
9,52,11514.71282
9,77,11630.55911
9,50,11791.38369
9,61,11793.17817
9,15,12460.40756
9,125,12463.63251
9,16,12524.06726
9,98,12671.21521
9,92,12781.03065
9,4,12786.45156
9,30,13018.34223
9,31,13127.94098
9,58,13206.37188
9,62,13257.41488
9,32,13299.97256
9,112,13579.33312
9,17,13767.00648
9,13,13873.58962
9,24,14644.90381
9,60,14825.13318
9,57,15029.97855
9,28,15124.03245
9,29,15331.12285
9,65,15669.63845
9,21,16077.78011
9,22,16082.45301
9,19,16240.89246
9,94,16300.02339
9,18,16532.08499
9,20,16749.6355
9,7,17068.95305
9,63,17151.0028
9,71,17685.5647
9,11,17867.39302
9,23,18017.4024
9,66,18280.11567
9,54,18843.63701
9,8,18887.07732
9,111,19366.38308
9,3,19495.72288
9,26,20494.07698
9,27,20747.44489
9,56,20993.24869
9,110,20998.87032
9,25,25346.4512
10,10,0.0
10,9,73.27650016
10,38,1321.821643
10,69,1340.172538
10,90,1591.593298
10,89,2039.940561
10,43,2903.732616
10,117,2974.116008
10,87,3052.223782
10,80,3187.972696
10,97,3194.731334
10,40,3487.0392
10,84,3603.284119
10,36,4113.267909
10,85,4929.3938
10,72,4969.928651
10,81,5042.15594
10,114,5194.729171
10,41,5263.03678
10,42,5282.689314
10,119,5392.872874
10,104,5474.617636
10,83,5521.318993
10,39,5524.542161
10,12,5524.874935
10,113,5720.183531
10,115,5725.178879
10,37,5815.756553
10,34,6223.986715
10,99,6229.497068
10,86,6433.83866
10,35,6634.012371
10,44,6653.930112
10,79,6911.03401
10,116,6986.668931
10,75,7013.400664
10,74,7048.289049
10,45,7153.679655
10,1,7258.962458
10,96,7485.243579
10,78,7669.989394
10,55,7892.838485
10,47,8048.397493
10,48,8219.113131
10,91,8385.625192
10,82,8409.528179
10,108,8581.274248
10,73,8601.7912
10,107,8607.781199
10,88,8655.891912
10,70,8895.654821
10,95,8923.601071
10,103,8941.334466
10,33,8962.61128
10,101,9126.059521
10,93,9207.749634
10,123,9311.927594
10,100,9374.683052
10,122,9386.418617
10,124,9391.901052
10,121,9397.083121
10,106,9761.948936
10,76,9862.287614
10,46,9880.067691
10,64,9907.153193
10,102,9978.783928
10,49,10000.68518
10,120,10069.48119
10,105,10226.06121
10,118,10448.21045
10,67,10526.53352
10,14,10549.10755
10,109,10907.5581
10,59,10910.06326
10,6,10936.81496
10,2,11064.91955
10,5,11271.54219
10,68,11271.70105
10,53,11309.95973
10,51,11383.15007
10,52,11441.43632
10,77,11703.83561
10,50,11718.10719
10,61,11866.45467
10,15,12533.68406
10,125,12536.90901
10,16,12597.34376
10,4,12713.17506
10,98,12744.49171
10,92,12854.30715
10,30,13091.61873
10,31,13201.21748
10,58,13279.64838
10,62,13330.69138
10,32,13373.24906
10,112,13652.60962
10,13,13800.31312
10,17,13840.28299
10,24,14718.18031
10,60,14898.40968
10,57,15103.25505
10,28,15197.30895
10,29,15263.51676
10,65,15742.91495
10,21,16004.50361
10,22,16009.17651
10,19,16314.16896
10,94,16373.29989
10,18,16605.36149
10,20,16822.912
10,7,17142.22955
10,63,17224.2793
10,71,17758.8412
10,11,17940.66952
10,23,18090.6789
10,66,18353.39217
10,54,18916.91351
10,8,18960.35382
10,111,19439.65958
10,3,19568.99938
10,26,20567.35348
10,27,20820.72139
10,56,21066.52519
10,110,21072.14682
10,25,25419.7277
11,11,0.0
11,20,1746.315018
11,111,2797.494442
11,57,2999.353862
11,110,3273.208135
11,19,3444.745094
11,23,4645.461828
11,60,4893.475444
11,58,5327.665322
11,125,5403.760506
11,17,6062.585825
11,18,6099.812563
11,77,6355.288141
11,5,7043.246015
11,25,7726.395599
11,120,7871.188331
11,102,7961.88559
11,109,8301.724705
11,6,8433.79938
11,59,8460.551077
11,61,8767.187354
11,121,8798.0938
11,122,8808.758303
11,106,8827.799875
11,124,8854.592965
11,123,8883.249327
11,100,8994.718865
11,103,9024.285856
11,101,9175.03713
11,16,9433.368784
11,73,9436.40699
11,15,9497.028487
11,93,9691.898933
11,62,9777.741062
11,8,9825.869571
11,98,9838.411178
11,95,9907.597407
11,70,10003.99375
11,47,10066.41519
11,56,10469.48005
11,54,10564.10457
11,107,10694.38727
11,91,10888.3655
11,92,10898.72851
11,74,11049.81936
11,96,11147.28791
11,108,11147.39867
11,75,11174.3927
11,99,11774.75775
11,78,12074.00299
11,71,12508.03908
11,104,12909.46895
11,119,13036.29235
11,24,13064.22805
11,85,13431.05884
11,94,13452.56495
11,72,13472.41207
11,88,13519.02377
11,55,14164.85305
11,26,14339.14622
11,40,14459.94053
11,97,14772.19404
11,43,15418.55806
11,2,15492.44535
11,7,16089.74233
11,63,16171.79208
11,32,16284.20645
11,84,16897.62782
11,27,17107.83731
11,33,17141.04617
11,48,17202.51408
11,21,17465.52807
11,22,17470.20097
11,38,17513.30436
11,89,17655.7454
11,9,17867.39302
11,10,17940.66952
11,49,18153.95476
11,12,18523.05666
11,3,18656.82999
11,69,18922.81169
11,76,19125.64637
11,90,19174.23245
11,105,19500.11066
11,117,19547.05596
11,52,19806.34492
11,51,19864.63117
11,50,19981.97415
11,44,20216.21585
11,41,20353.54695
11,64,20365.28258
11,42,20373.19949
11,87,20383.72071
11,53,20411.20758
11,83,20611.82917
11,80,20784.06627
11,45,21021.96778
11,86,21464.36735
11,36,21616.49735
